Id,cuitan,sentimen
1,Kenyataannya Coretax sama sekali gak praktis buat lapor SPT.,Negatif
3,"Sistem coretax lumayan membantu, kadang lancar kadang error.",Netral
5,Wah sekarang sistem coretax tidak lelet kaya dulu buat bayar pajak bulanan.,Positif
7,"Menurut saya fitur Coretax lengkap, wajib pajak jadi tenang.",Positif
8,"bikin emosi, coretax buruk sekali parah, tiap awal bulan pasti begini.",Negatif
9,besok mau coba akses coretax siap-siap aja deh.,Netral
19,Besok mau coba akses coretax buat nyiapin data bulan ini.,Netral
21,Hari ini mau nanya soal fitur e-faktur di coretax ada yang tau caranya?,Netral
22,"keren, sistem coretax nggak susah diakses buat bayar pajak bulanan.",Positif
28,"Keren, Coretax tanpa kendala loading pas mau lapor SPT.",Positif
29,"Setelah pake Coretax, berharap kedepannya lancar demi kemudahan wajib pajak.",Netral
32,"Menurut saya fitur Coretax lengkap, makin mantap DJP.",Positif
36,"Parah bgt Coretax buruk sekali parah, tiap awal bulan pasti begini.",Negatif
40,"Keren, sistem coretax gak ribet lagi loh.",Positif
42,Sistem Coretax super cepat resposnya pokoknya mantap bgt.,Positif
45,Sistem Coretax amat sangat mudah buat wajib pajak.,Positif
46,Sistem Coretax lancar banget jaya pokoknya mantap bgt.,Positif
58,"Semenjak update, Coretax nggak susah diakses loh.",Positif
60,"sistem coretax lumayan lah, mendingan daripada sistem lama.",Netral
61,"Sistem coretax cukup untuk dasar, yah biasa aja sih.",Netral
62,Nanti malam lagi baca buku panduan coretax buat nyiapin data bulan ini.,Netral
72,"Parah bgt Coretax buruk sekali parah, kapan benernya sih.",Negatif
74,"setelah pake coretax, turut berkembang terus supaya kita ga telat lapor.",Netral
76,"Semenjak update, sistem coretax gak ribet lagi banget euy.",Positif
79,"sistem coretax cukup memadai, yah biasa aja sih.",Netral
81,Hari ini lagi baca buku panduan coretax ada yang tau caranya?,Netral
83,"Aduh Coretax buruk sekali parah, stres ngerjainnya.",Negatif
85,Sistem Coretax super cepat resposnya buat wajib pajak.,Positif
86,"Menurut saya fitur Coretax lengkap, gak pusing lagi ngerjain pajak.",Positif
100,"Setelah pake Coretax, semoga bug nya ilang bulan depan demi kemudahan wajib pajak.",Netral
101,Besok mau nanya soal fitur e-faktur di coretax buat nyiapin data bulan ini.,Netral
102,Wah sekarang Coretax nggak susah diakses loh.,Positif
110,Nanti malam mau nanya soal fitur e-faktur di coretax buat nyiapin data bulan ini.,Netral
112,Sistem Coretax sangat sangat membantu untuk urus SPT.,Positif
116,Sistem Coretax lancar banget jaya untuk urus SPT.,Positif
117,"menurut saya fitur coretax lengkap, gak pusing lagi ngerjain pajak.",Positif
122,Kenyataannya Coretax gak lancar dipake buat lapor SPT.,Negatif
127,nanti malam mau nanya soal fitur e-faktur di coretax di laptop.,Netral
129,"Setelah pake Coretax, mudah-mudahan segera diperbaiki untuk layanan DJP yang lebih baik.",Netral
138,"Nilai plusnya fitur Coretax lengkap, wajib pajak jadi tenang.",Positif
139,"Keren, Coretax tidak error sama sekali banget euy.",Positif
141,"setelah pake coretax, semoga makin oke untuk layanan djp yang lebih baik.",Netral
143,"Keren, Coretax tidak error sama sekali pas mau lapor SPT.",Positif
145,Sistem Coretax sangat sangat membantu buat wajib pajak.,Positif
147,besok mau coba akses coretax ada yang tau caranya?,Netral
150,"Suka banget karena fitur Coretax lengkap, bikin kerjaan cepet kelar.",Positif
159,nanti malam mau coba akses coretax di laptop.,Netral
161,akhirnya sistem coretax gak ribet lagi loh.,Positif
162,Hari ini mau coba akses coretax di laptop.,Netral
164,Nanti malam mau nanya soal fitur e-faktur di coretax ada yang tau caranya?,Netral
166,Akhirnya Coretax tidak lelet kaya dulu buat bayar pajak bulanan.,Positif
169,Kenyataannya Coretax bukan solusi yang baik sama sekali.,Negatif
174,"Semenjak update, Coretax tanpa kendala loading pas mau lapor SPT.",Positif
183,kenyataannya coretax tidak membantu buat lapor spt.,Negatif
184,Akhirnya Coretax bukan aplikasi buruk pas mau lapor SPT.,Positif
185,"sistem coretax lumayan membantu, kadang lancar kadang error.",Netral
187,"Setelah pake Coretax, berharap kedepannya lancar ya min.",Netral
188,"keren, sistem coretax tanpa kendala loading pas mau lapor spt.",Positif
190,Hari ini mau nanya soal fitur e-faktur di coretax siap-siap aja deh.,Netral
191,"Keren, Coretax bukan aplikasi buruk buat bayar pajak bulanan.",Positif
192,Jujur sistem coretax tidak lelet kaya dulu buat bayar pajak bulanan.,Positif
193,Kenyataannya Coretax bukan solusi yang baik malah nambah beban.,Negatif
199,"aduh coretax buruk sekali parah, tiap awal bulan pasti begini.",Negatif
